verse,ar,en,nl,timestamps
73:1,يَأَيُّهَا الْمُزَّمِّلُ,O you who wraps himself [in clothing],O jij omhulde.,0:11.578
73:2,قُمِ الَّيْلَ إِلَّا قَلِيلًا,"Arise [to pray] the night, except for a little -","Sta (in gebed) de hele nacht, behalve een kort gedeelte (van de nacht).",0:18.361
73:3,نِّصْفَهُ أَوِ انقُصْ مِنْهُ قَلِيلًا,Half of it - or subtract from it a little,De helft ervan of iets minder dan dat.,0:23.290
73:4,أَوْ زِدْ عَلَيْهِ وَرَتِّلِ الْقُرْءَانَ تَرْتِيلًا,"Or add to it, and recite the Qur’an with measured recitation.",Of een beetje meer; en reciteer de Koran duidelijk en aandachtig.,0:31.352
73:5,إِنَّا سَنُلْقِى عَلَيْكَ قَوْلًا ثَقِيلًا,"Indeed, We will cast upon you a heavy word.","Waarlijk, Wij zullen een gewichtige Woorden tot jou neerzenden.",0:38.285
73:6,إِنَّ نَاشِئَةَ الَّيْلِ,"Indeed, the hours of the night","Waarlijk, het opstaan in de nacht (om te bidden)",0:47.495
,هِىَ أَشَدُّ وَطًْٔا,are more effective for concurrence [of heart and tongue],is zwaarder,0:52.253
,وَأَقْوَمُ قِيلًا,and more suitable for words.,en maakt het woord zekerder.,0:54.933
73:7,إِنَّ لَكَ فِى النَّهَارِ سَبْحًا طَوِيلًا,"Indeed, for you by day is prolonged occupation.","Waarlijk, jij bent overdag belast met vele aangelegenheden.",0:58.228
73:8,وَاذْكُرِ اسْمَ رَبِّكَ,And remember the name of your Lord,En gedenk de Naam van jouw Heer,1:06.900
,وَتَبَتَّلْ إِلَيْهِ تَبْتِيلًا,and devote yourself to Him with [complete] devotion.,en wijd je geheel aan Hem.,1:09.266
73:9,رَّبُّ الْمَشْرِقِ وَالْمَغْرِبِ,[He is] the Lord of the East and the West;,(Hij alleen is) de Heer van het Oosten en het Westen.,1:13.981
,لَا إِلَهَ إِلَّا هُوَ,"there is no deity except Him,",Er is geen andere God naast Hem.,1:17.080
,لَا إِلَهَ إِلَّا هُوَ,"there is no deity except Him,",Er is geen andere God naast Hem.,1:23.746
,فَاتَّخِذْهُ وَكِيلًا,so take Him as Disposer of [your] affairs.,Neem Hem daarom als beschermer.,1:29.040
73:10,وَاصْبِرْ عَلَى مَا يَقُولُونَ,And be patient over what they say,En wees geduldig met wat zij zeggen,1:32.688
,وَاهْجُرْهُمْ هَجْرًا جَمِيلًا,and avoid them with gracious avoidance.,en neem op gepaste wijze afstand van hen (de ongelovigen).,1:36.333
73:11,وَذَرْنِى وَالْمُكَذِّبِينَ,"And leave Me with [the matter of] the deniers,","En laat de loochenaars,",1:41.584
,أُولِى النَّعْمَةِ,"those of ease [in life],",de bezitters van weelde aan Mij over.,1:44.533
,وَمَهِّلْهُمْ قَلِيلًا,and allow them respite a little.,En geef hen een korte tijd uitstel.,1:47.906
,وَذَرْنِى وَالْمُكَذِّبِينَ,"And leave Me with [the matter of] the deniers,","En laat de loochenaars,",1:51.548
,أُولِى النَّعْمَةِ,"those of ease [in life],",de bezitters van weelde aan Mij over.,1:54.640
,وَمَهِّلْهُمْ قَلِيلًا,and allow them respite a little.,En geef hen een korte tijd uitstel.,1:56.973
73:12,إِنَّ لَدَيْنَا أَنكَالًا وَجَحِيمًا,"Indeed, with Us [for them] are shackles and burning fire.","Waarlijk, bij Ons zijn (voor hen) ketenenen een laaiend Vuur.",2:00.801
73:13,وَطَعَامًا ذَا غُصَّةٍ وَعَذَابًا أَلِيمًا,And food that chokes and a painful punishment -,En voedsel waarin zij stikken en een pijnlijke bestraffing.,2:11.783
73:14,يَوْمَ تَرْجُفُ الْأَرْضُ وَالْجِبَالُ,On the Day the earth and the mountains will convulse,Op de Dag waarop de aarde en de bergen heftig zullen beven,2:21.852
,وَكَانَتِ الْجِبَالُ كَثِيبًا مَّهِيلًا,and the mountains will become a heap of sand pouring down.,en de bergen tot uit elkaar geblazen stof zullen worden.,2:25.813
73:15,إِنَّا أَرْسَلْنَا إِلَيْكُمْ رَسُولًا,"Indeed, We have sent to you a Messenger","Waarlijk, Wij hebben een Boodschapper tot jullie gezonden",2:31.780
,إِنَّا أَرْسَلْنَا إِلَيْكُمْ رَسُولًا,"Indeed, We have sent to you a Messenger","Waarlijk, Wij hebben een Boodschapper tot jullie gezonden",2:40.613
,شَهِدًا عَلَيْكُمْ,as a witness upon you,"als getuige over jullie,",2:50.666
,كَمَا أَرْسَلْنَا إِلَى فِرْعَوْنَ رَسُولًا,just as We sent to Pharaoh a messenger.,zoals Wij een Boodschapper aan Farao hebben gestuurd.,2:54.066
73:16,فَعَصَى فِرْعَوْنُ الرَّسُولَ,"But Pharaoh disobeyed the messenger,","Maar Farao was ongehoorzaam aan de Boodschapper,",3:04.015
,فَأَخَذْنَهُ أَخْذًا وَبِيلًا,so We seized him with a ruinous seizure.,dus grepen Wij hem met een zware bestraffing.,3:07.746
73:17,فَكَيْفَ تَتَّقُونَ إِن كَفَرْتُمْ,"Then how can you fear, if you disbelieve,",Hoe zullen jullie je dan beschermen,"3:13.879,3:12.415"
,يَوْمًا يَجْعَلُ الْوِلْدَنَ شِيبًا,a Day that will make the children white-haired?,als jullie de Dag waarop de kinderen grijsaards worden ontkennen?,3:19.933
73:18,السَّمَاءُ مُنفَطِرٌ بِهِ,The heaven will break apart therefrom;,De hemel zal dan gespleten zijn,3:25.549
,كَانَ وَعْدُهُ مَفْعُولًا,ever is His promise fulfilled.,en Zijn belofte wordt zeker vervuld.,3:33.106
73:19,إِنَّ هَذِهِ تَذْكِرَةٌ,"Indeed, this is a reminder,","Waarlijk, dit is een vermaning,",3:37.279
,فَمَن شَاءَ اتَّخَذَ إِلَى رَبِّهِ سَبِيلًا,so whoever wills may take to his Lord a way.,laat daarom wie wil een Pad tot zijn Heer nemen!,3:42.533
73:20,إِنَّ رَبَّكَ يَعْلَمُ أَنَّكَ تَقُومُ أَدْنَى مِن ثُلُثَىِ الَّيْلِ وَنِصْفَهُ وَثُلُثَهُ وَطَائِفَةٌ مِّنَ الَّذِينَ مَعَكَ وَاللَّهُ يُقَدِّرُ الَّيْلَ وَالنَّهَارَ عَلِمَ أَن لَّن تُحْصُوهُ فَتَابَ عَلَيْكُمْ فَاقْرَءُوا مَا تَيَسَّرَ مِنَ الْقُرْءَانِ عَلِمَ أَن سَيَكُونُ مِنكُم مَّرْضَى وَءَاخَرُونَ يَضْرِبُونَ فِى الْأَرْضِ يَبْتَغُونَ مِن فَضْلِ اللَّهِ وَءَاخَرُونَ يُقَتِلُونَ فِى سَبِيلِ اللَّهِ فَاقْرَءُوا مَا تَيَسَّرَ مِنْهُ وَأَقِيمُوا الصَّلَوةَ وَءَاتُوا الزَّكَوةَ وَأَقْرِضُوا اللَّهَ قَرْضًا حَسَنًا وَمَا تُقَدِّمُوا لِأَنفُسِكُم مِّنْ خَيْرٍ تَجِدُوهُ عِندَ اللَّهِ هُوَ خَيْرًا وَأَعْظَمَ أَجْرًا وَاسْتَغْفِرُوا اللَّهَ إِنَّ اللَّهَ غَفُورٌ رَّحِيمٌ,"Indeed, your Lord knows, [O Muhammad], that you stand [in prayer] almost two thirds of the night or half of it or a third of it, and [so do] a group of those with you. And Allah determines [the extent of] the night and the day. He has known that you [Muslims] will not be able to do it and has turned to you in forgiveness, so recite what is easy [for you] of the Qur’ān. He has known that there will be among you those who are ill and others traveling throughout the land seeking [something] of the bounty of Allah and others fighting for the cause of Allah. So recite what is easy from it and establish prayer and give zakāh and loan Allah a goodly loan.2 And whatever good you put forward for yourselves - you will find it with Allah. It is better and greater in reward. And seek forgiveness of Allah. Indeed, Allah is Forgiving and Merciful.","Waarlijk, jouw Heer weet dat je bijna tweederde of de helft van de nacht of een derde van de nacht staat (te bidden) en dat doen ook een deel van degenen die bij jou horen. En Allah kent de nacht en de dag. Hij weet dat jullie niet in staat zijn om de hele nacht te bidden, dus keert Hij zich in barmhartigheid tot jullie. Verricht van het nachtgebed zoveel als gemakkelijk is voor jullie. Hij weet dat er onder jullie zieken zijn en anderen die door het land reizen, op zoek naar Allah’s overvloed, en anderen die strijden voor de zaak van Allah. En verricht van het nachtgebed wat gemakkelijk is voor jullie. En onderhoudt het gebed en geef zakaat en leen aan Allah een goede lening. En wat jullie vooruitzenden voor julliezelf aan goede daden, jullie zullen het bij Allah aantreffen. Het is een betere en grotere beloning. En vraag om vergiffenis van Allah. Waarlijk, Allah is Vergevingsgezind, Genadevol.",3:52.770
,,,,5:45.885
