verse,ar,en,timestamps
19:59,فَخَلَفَ مِنۢ بَعْدِهِمْ,But there came after them,10:25.047
,خَلْفٌ أَضَاعُوا ٱلصَّلَوٰةَ,"successors [i.e., later generations] who neglected prayer",10:27.160
,وَٱتَّبَعُوا ٱلشَّهَوَٰتِ ۖ,and pursued desires;,10:29.506
,فَسَوْفَ يَلْقَوْنَ غَيًّا,so they are going to meet evil -,10:31.506
19:60,إِلَّا مَن تَابَ وَءَامَنَ وَعَمِلَ صَـٰلِحًا,"Except those who repent, believe and do righteousness;",10:34.563
,فَأُولَـٰٓئِكَ يَدْخُلُونَ ٱلْجَنَّةَ,for those will enter Paradise,10:39.773
,وَلَا يُظْلَمُونَ شَيْـًٔا,and will not be wronged at all.,10:44.720
19:61,جَنَّـٰتِ عَدْنٍ,[Therein are] gardens of perpetual residence,10:47.500
,ٱلَّتِى وَعَدَ ٱلرَّحْمَـٰنُ عِبَادَهُۥ بِٱلْغَيْبِ ۚ,which the Most Merciful has promised His servants in the unseen.,10:49.933
,إِنَّهُۥ كَانَ وَعْدُهُۥ مَأْتِيًّا,"Indeed, His promise has ever been eminent.",10:54.960
19:62,لَّا يَسْمَعُونَ فِيهَا لَغْوًا,They will not hear therein any ill speech -,10:59.235
,إِلَّا سَلَـٰمًا ۖ,only [greetings of] peace -,11:02.160
,وَلَهُمْ رِزْقُهُمْ فِيهَا,"and they will have their provision therein,",11:04.240
,بُكْرَةً وَعَشِيًّا,morning and afternoon.,11:06.773
19:63,تِلْكَ ٱلْجَنَّةُ,"That is Paradise,",11:10.226
,تِلْكَ ٱلْجَنَّةُ,"That is Paradise,",11:13.000
,ٱلَّتِى نُورِثُ مِنْ عِبَادِنَا مَن كَانَ تَقِيًّا,which We give as inheritance to those of Our servants who were fearing of Allah.,11:15.106
19:64,وَمَا نَتَنَزَّلُ إِلَّا بِأَمْرِ رَبِّكَ ۖ,"[Gabriel said], ""And we [angels] descend not except by the order of your Lord.",11:21.131
,لَهُۥ مَا بَيْنَ أَيْدِينَا,To Him belongs that before us,11:25.000
,وَمَا خَلْفَنَا,and that behind us,11:27.493
,وَمَا بَيْنَ ذَٰلِكَ ۚ,and what is in between.,11:28.960
,وَمَا كَانَ رَبُّكَ نَسِيًّا,And never is your Lord forgetful -,11:30.813
19:65,رَّبُّ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ وَمَا بَيْنَهُمَا,Lord of the heavens and the earth and whatever is between them -,11:34.057
,فَٱعْبُدْهُ وَٱصْطَبِرْ لِعِبَـٰدَتِهِۦ ۚ,so worship Him and have patience for His worship.,11:38.866
,هَلْ تَعْلَمُ لَهُۥ سَمِيًّا,"Do you know of any similarity to Him?""",11:43.280
,,,11:47.500
