verse,ar,en
4:27,وَاللَّهُ يُرِيدُ أَن يَتُوبَ عَلَيْكُمْ,"Allah wants to accept your repentance,"
,وَيُرِيدُ الَّذِينَ يَتَّبِعُونَ الشَّهَوَتِ أَن,but those who follow [their] passions want
,تَمِيلُوا مَيْلًا عَظِيمًا,you to digress [into] a great deviation.
4:28,يُرِيدُ اللَّهُ أَن يُخَفِّفَ عَنكُمْ,And Allah wants to lighten for you [your difficulties];
,وَخُلِقَ الْإِنسَنُ ضَعِيفًا,and mankind was created weak.
4:29,يَأَيُّهَا الَّذِينَ ءَامَنُوا,"O you who have believed,"
,لَا تَأْكُلُوا أَمْوَلَكُم بَيْنَكُم بِالْبَطِلِ إِلَّا,do not consume one another's wealth unjustly but
,إِلَّا أَن تَكُونَ تِجَرَةً عَن تَرَاضٍ مِّنكُمْ,but only [in lawful] business by mutual consent.
,وَلَا تَقْتُلُوا أَنفُسَكُمْ,And do not kill yourselves [or one another].
,إِنَّ اللَّهَ كَانَ بِكُمْ رَحِيمًا,"Indeed, Allah is to you ever Merciful."
