verse,ar,en,timestamps
,فَبِمَا نَقْضِهِم مِّيثَقَهُمْ,And [We cursed them] for their breaking of the covenant,0:01.346
,وَكُفْرِهِم بَِٔايَتِ اللَّهِ,and their disbelief in the signs of Allah,0:04.826
,وَقَتْلِهِمُ الْأَنبِيَاءَ بِغَيْرِ حَقٍّ,and their killing of the prophets without right,0:08.493
,وَقَوْلِهِمْ قُلُوبُنَا غُلْفٌ,"and their saying, ""Our hearts are wrapped"" [i.e., sealed against reception].",0:15.146
,بَلْ طَبَعَ اللَّهُ عَلَيْهَا بِكُفْرِهِمْ,"Rather, Allah has sealed them because of their disbelief,",0:18.520
,فَلَا يُؤْمِنُونَ إِلَّا قَلِيلًا,"so they believe not, except for a few.",0:22.520
,وَبِكُفْرِهِمْ,And [We cursed them] for their disbelief,0:27.353
,وَقَوْلِهِمْ عَلَى مَرْيَمَ بُهْتَنًا عَظِيمًا,and their saying against Mary a great slander,0:28.693
,وَقَوْلِهِمْ إِنَّا قَتَلْنَا الْمَسِيحَ,"And [for] their saying, ""Indeed, we have killed the Messiah,",0:34.809
,عِيسَى ابْنَ مَرْيَمَ,"Jesus the son of Mary,",0:38.906
,رَسُولَ اللَّهِ,"the messenger of Allah.""",0:40.853
,وَمَا قَتَلُوهُ,"And they did not kill him,",0:43.800
,وَمَا صَلَبُوهُ,nor did they crucify him;,0:45.426
,وَلَكِن شُبِّهَ لَهُمْ,but [another] was made to resemble him to them.,0:47.160
,وَإِنَّ الَّذِينَ اخْتَلَفُوا فِيهِ لَفِى شَكٍّ مِّنْهُ,"And indeed, those who differ over it are in doubt about it.",0:50.573
,مَا لَهُم بِهِ مِنْ عِلْمٍ إِلَّا اتِّبَاعَ الظَّنِّ,They have no knowledge of it except the following of assumption.,0:57.813
,وَمَا قَتَلُوهُ يَقِينًا,"And they did not kill him, for certain.",1:03.773
,بَل رَّفَعَهُ اللَّهُ إِلَيْهِ,"Rather, Allah raised him to Himself.",1:07.252
,بَل رَّفَعَهُ اللَّهُ إِلَيْهِ,"Rather, Allah raised him to Himself.",1:11.386
,وَكَانَ اللَّهُ عَزِيزًا حَكِيمًا,And ever is Allah Exalted in Might and Wise.,1:14.173
,وَإِن مِّنْ أَهْلِ الْكِتَبِ,And there is none from the People of the Scripture,1:19.466
,إِلَّا لَيُؤْمِنَنَّ بِهِ قَبْلَ مَوْتِهِ,"but that he will surely believe in him [i.e., Jesus] before his death.",1:22.533
,وَيَوْمَ الْقِيَمَةِ يَكُونُ عَلَيْهِمْ شَهِيدًا,And on the Day of Resurrection he will be against them a witness.,1:26.973
,فَبِظُلْمٍ مِّنَ الَّذِينَ هَادُوا,"For wrongdoing on the part of the Jews,",1:32.447
,حَرَّمْنَا عَلَيْهِمْ طَيِّبَتٍ,We made unlawful for them [certain] good foods,1:36.386
,أُحِلَّتْ لَهُمْ,"which had been lawful to them,",1:40.106
,وَبِصَدِّهِمْ عَن سَبِيلِ اللَّهِ كَثِيرًا,and for their averting from the way of Allah many [people],1:41.600
,,,1:47.820
