verse,ar,en
,الر,"Alif, Lam, Ra."
,تِلْكَ ءَايَتُ الْكِتَبِ الْمُبِينِ,These are the verses of the clear Book.
,إِنَّا أَنزَلْنَهُ قُرْءَنًا عَرَبِيًّا,"Indeed, We have sent it down as an Arabic Qur’an"
,لَّعَلَّكُمْ تَعْقِلُونَ,that you might understand.
,نَحْنُ نَقُصُّ عَلَيْكَ أَحْسَنَ الْقَصَصِ,"We relate to you, [O Muhammad], the best of stories"
,بِمَا أَوْحَيْنَا إِلَيْكَ هَذَا الْقُرْءَانَ,in what We have revealed to you of this Qur’an
,وَإِن كُنتَ مِن قَبْلِهِ لَمِنَ الْغَفِلِينَ,"although you were, before it, among the unaware."
,إِذْ قَالَ يُوسُفُ لِأَبِيهِ يَأَبَتِ,"[Of these stories mention] when Joseph said to his father, ""O my father,"
,إِنِّى رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا,indeed I have seen [in a dream] eleven stars
,وَالشَّمْسَ وَالْقَمَرَ رَأَيْتُهُمْ لِى سَجِدِينَ,"and the sun and the moon; I saw them prostrating to me."""
,قَالَ يَبُنَىَّ لَا تَقْصُصْ رُءْيَاكَ عَلَى إِخْوَتِكَ,"He said, ""O my son, do not relate your vision to your brothers"
,فَيَكِيدُوا لَكَ كَيْدًا,or they will contrive against you a plan.
,إِنَّ الشَّيْطَنَ لِلْإِنسَنِ عَدُوٌّ مُّبِينٌ,"Indeed Satan, to man, is a manifest enemy."
