verse,ar,en,nl,timestamps
73:1,يَـٰٓأَيُّهَا ٱلْمُزَّمِّلُ,O you who wraps himself [in clothing],O jij omhulde.,0:11.578
73:2,قُمِ ٱلَّيْلَ إِلَّا قَلِيلًا,"Arise [to pray] the night, except for a little -","Sta (in gebed) de hele nacht, behalve een kort gedeelte (van de nacht).",0:18.361
73:3,نِّصْفَهُۥٓ أَوِ ٱنقُصْ مِنْهُ قَلِيلًا,Half of it - or subtract from it a little,De helft ervan of iets minder dan dat.,0:23.290
73:4,أَوْ زِدْ عَلَيْهِ وَرَتِّلِ ٱلْقُرْءَانَ تَرْتِيلًا,"Or add to it, and recite the Qur’an with measured recitation.",Of een beetje meer; en reciteer de Koran duidelijk en aandachtig.,0:31.352
73:5,إِنَّا سَنُلْقِى عَلَيْكَ قَوْلًا ثَقِيلًا,"Indeed, We will cast upon you a heavy word.","Waarlijk, Wij zullen een gewichtige Woorden tot jou neerzenden.",0:38.285
73:6,إِنَّ نَاشِئَةَ ٱلَّيْلِ,"Indeed, the hours of the night","Waarlijk, het opstaan in de nacht (om te bidden)",0:47.495
,هِىَ أَشَدُّ وَطْـًٔا,are more effective for concurrence [of heart and tongue],is zwaarder,0:52.253
,وَأَقْوَمُ قِيلًا,and more suitable for words.,en maakt het woord zekerder.,0:54.933
73:7,إِنَّ لَكَ فِى ٱلنَّهَارِ سَبْحًا طَوِيلًا,"Indeed, for you by day is prolonged occupation.","Waarlijk, jij bent overdag belast met vele aangelegenheden.",0:58.228
73:8,وَٱذْكُرِ ٱسْمَ رَبِّكَ,And remember the name of your Lord,En gedenk de Naam van jouw Heer,1:06.900
,وَتَبَتَّلْ إِلَيْهِ تَبْتِيلًا,and devote yourself to Him with [complete] devotion.,en wijd je geheel aan Hem.,1:09.266
73:9,رَّبُّ ٱلْمَشْرِقِ وَٱلْمَغْرِبِ,[He is] the Lord of the East and the West;,(Hij alleen is) de Heer van het Oosten en het Westen.,1:13.981
,لَآ إِلَـٰهَ إِلَّا هُوَ,"there is no deity except Him,",Er is geen andere God naast Hem.,1:17.080
,لَآ إِلَـٰهَ إِلَّا هُوَ,"there is no deity except Him,",Er is geen andere God naast Hem.,1:23.746
,فَٱتَّخِذْهُ وَكِيلًا,so take Him as Disposer of [your] affairs.,Neem Hem daarom als beschermer.,1:29.040
73:10,وَٱصْبِرْ عَلَىٰ مَا يَقُولُونَ,And be patient over what they say,En wees geduldig met wat zij zeggen,1:32.688
,وَٱهْجُرْهُمْ هَجْرًا جَمِيلًا,and avoid them with gracious avoidance.,en neem op gepaste wijze afstand van hen (de ongelovigen).,1:36.333
73:11,وَذَرْنِى وَٱلْمُكَذِّبِينَ,"And leave Me with [the matter of] the deniers,","En laat de loochenaars,",1:41.584
