verse,ar,en
,قَالُوا يَمَرْيَمُ,"They said, ""O Mary,"
,لَقَدْ جِئْتِ شَئًْا فَرِيًّا,you have certainly done a thing unprecedented.
,يَأُخْتَ هَرُونَ,"O sister [i.e., descendant] of Aaron,"
,مَا كَانَ أَبُوكِ امْرَأَ سَوْءٍ,"your father was not a man of evil,"
,وَمَا كَانَتْ أُمُّكِ بَغِيًّا,"nor was your mother unchaste."""
,فَأَشَارَتْ إِلَيْهِ,So she pointed to him.
,قَالُوا كَيْفَ نُكَلِّمُ,"They said, ""How can we speak"
,مَن كَانَ فِى الْمَهْدِ صَبِيًّا,"to one who is in the cradle a child?"""
,قَالَ إِنِّى عَبْدُ اللَّهِ,"[Jesus] said, ""Indeed, I am the servant of Allah."
,ءَاتَىنِىَ الْكِتَبَ,He has given me the Scripture
,وَجَعَلَنِى نَبِيًّا,and made me a prophet.
,وَجَعَلَنِى مُبَارَكًا أَيْنَ مَا كُنتُ,And He has made me blessed wherever I am
,وَجَعَلَنِى مُبَارَكًا أَيْنَ مَا كُنتُ,And He has made me blessed wherever I am
,وَأَوْصَنِى بِالصَّلَوةِ,and has enjoined upon me prayer
,وَالزَّكَوةِ مَا دُمْتُ حَيًّا,and zakah as long as I remain alive
,وَبَرًّا بِوَلِدَتِى,"And [made me] dutiful to my mother,"
,وَلَمْ يَجْعَلْنِى جَبَّارًا شَقِيًّا,and He has not made me a wretched tyrant.
,وَالسَّلَمُ عَلَىَّ يَوْمَ وُلِدتُّ,And peace is on me the day I was born
,وَيَوْمَ أَمُوتُ,and the day I will die
,وَيَوْمَ أُبْعَثُ حَيًّا,"and the day I am raised alive."""
